N. Tomba,Bibliografia essenziale
564,"Berti 1983, p. 54; Berti 1993, p. 41; Timossi 2019; Serra 2025, p. 238"
565,"BERTI 1993, p. 41; Timossi 2019"
566,Timossi 2019
567,"Massei 1978, pp. 35-36, n. 23; Timossi 2019; Serra 2025, p. 239"
568,Timossi 2019
569,"Timossi 2019; Serra 2025, p. 239"
570,"BERTI 1993, p. 41; Timossi 2019"
571,Timossi 2019
572,Timossi 2019
573,Timossi 2019
574,Timossi 2019
575,Timossi 2019
576,Timossi 2019
577,"Aurigemma 1965, pp. 65-69; Berti 1983, p. 87; Hostetter 2001, p. 56, n. 163; Timossi 2019"
578,Timossi 2019
579,"Mostra 1960, pp. 63-73; Berti 1993, p. 38; Guzzo 1993, pp. 96 - 98, figg. 74, 75; Camerin 1993b, p. 338; Timossi 2019; Timossi in Spina 2023, p. 180"
580,"BERTI 1993, p. 38; Timossi 2019"
581,"Timossi 2019; Serra 2025, p. 239"
582,Timossi 2019
583,"Berti 2007a, pp. 121-122; Timossi 2019"
584,"Berti 1987, pp. 368-374; Berti 2007a, pp. 109-128; Pozzi 2011; Timossi 2019"
585,"Berti 2007a, pp. 125-126; Pozzi 2011; Timossi 2019"
586,Timossi 2019
587,Timossi 2019
588,"Timossi 2019; Serra 2025, p. 239"
589,Timossi 2019
590,Timossi 2019
591.1,"Berti 2007a, pp. 127-128; Timossi 2019"
591.2,"Berti 2007a, pp. 127-128; Timossi 2019; Serra 2025, p. 239"
592,"Berti 2007a, pp. 126-127; Timossi 2019; Serra 2025, p. 239"
593,"Berti 2007a, pp. 118-120; Timossi 2019"
594,Timossi 2019
595,Timossi 2019
596,Timossi 2019
597,"BERTI 1993, p. 42; Timossi 2019"
598,"Timossi 2019; Serra 2025, p. 232"
599,Timossi 2019
600,"Timossi 2019; Serra 2025, p. 239"
601,Timossi 2019
602,"BERTI 1993, p. 44; Timossi 2019"
603,"BERTI 1993, p. 36; Parrini 1993a, pp. 273, 280-281; Timossi 2019"
604,"Berti 1993, p. 41; Timossi 2019"
605,"Berti 1993, p. 38; Timossi 2019"
606,Pozzi 2011; Timossi 2019
607,Timossi 2019
608,"Timossi 2019; Timossi in Spina 2023, pp. 434-435"
609,Timossi 2019
610,Timossi 2019
611,"BERTI 1993, p. 42; Pozzi 2011; Timossi 2019"
612,"Curti 1993, pp. 292, 294-295; Timossi 2019; Serra 2025, p. 232"
613,Timossi 2019
614,"Aurigemma 1965, pp. 73-74, tavv. 86-89; Berti 1983, p. 86; Trevisanello 2024; Trevisanello in Spina 2023, p. 186"
615,Trevisanello 2024
616,Trevisanello 2024
617,"Aurigemma 1960, pp. 105-109, tavv. 117-121; Camerin 1993b, p. 340, n. 798; Pozzi 2011; Alfieri 1979, p. XXXVI; Aurigemma 1935, pp. 46-47, tav. XXIII, n. 2; Berti 1983, p. 25; Aurigemma 1935, p. 44; Trevisanello 2024"
618,Trevisanello 2024
619,"Alfieri, Arias 1960, p.87; Ruscelli 2014-2015"
620,"Curti 1993, p. 294, n. 328; Trevisanello 2024"
621,Trevisanello 2024
622,Trevisanello 2024
623,Pozzi 2011; Trevisanello 2024
624,Trevisanello 2024
625,"Serra 2022; Serra 2025, p. 239"
626,"Guarnieri 1993, p. 189, nota 11; Massei 1978, pp. 105-107, tavv. XXVI, n. 2, XXVII, n. 3; Trevisanello 2024"
627,"Trevisanello in Spina 2023, p. 427; Trevisanello 2024"
628,Trevisanello 2024
629,"Serra 2022; Serra 2025, p. 232"
630,"Gaucci in Rasna 2019, p. 416; Trevisanello 2024"
631,Pozzi 2011; Trevisanello 2024
632,"Serra 2022; Serra 2025, p. 232"
633,Trevisanello 2024
634,Trevisanello 2024
635,Pozzi 2011; Trevisanello 2024
636,Trevisanello 2024
637,Trevisanello 2024
638,Pozzi 2011; Trevisanello 2024
639,Trevisanello 2024
640,"Serra 2022; Serra 2025, p. 246"
641,"Serra 2022; Serra 2025, p. 239"
642,"Berti 1991, pp. 28-30; Desantis 1993a, p. 158; Hostetter 2001, pp. 116-117, n. 286; Trevisanello 2024"
643,Trevisanello 2024
644,Trevisanello 2024
645,Trevisanello 2024
646,Trevisanello 2024
647,Trevisanello 2024
648,"Hostetter 2001, pp. 142-143, n. 355; Trevisanello 2024"
649,Trevisanello 2024
650,Massei 1978; pp. 37-38; tav. IX; Trevisanello 2024
651,"Serra 2022; Serra 2025, p. 240"
652,Trevisanello 2024
653,"Serra 2022; Serra 2025, p. 240"
654,Trevisanello 2024
655,Trevisanello 2024
656,Trevisanello 2024
657,Trevisanello 2024
658,Trevisanello 2024
659,Trevisanello 2024
660,"Parrini 2021, pp. 295-296; Trevisanello 2024"
661,Trevisanello 2024
662,Trevisanello 2024
663,Trevisanello 2024
664,Pozzi 2011; Trevisanello 2024
665,"Poggio 1974; pp. 113-114; Serra 2022; Serra 2025, p. 240"
666,Trevisanello 2024
667,Trevisanello 2024
668,Trevisanello 2024
669,"Serra 2022; Serra 2025, p. 240"
670,Trevisanello 2024
671,"Aurigemma-Alfieri 1957, p. 22, tav. XIII; Berti 1983, p. 54; Serra 2022; Serra 2025, p. 240"
672,Trevisanello 2024
673,Trevisanello 2024
674,"Poggio 1974, p. 88, tav. XXII, 1-2; Trevisanello 2024"
675,Trevisanello 2024
676,Trevisanello 2024
677,Trevisanello 2024
678,Trevisanello 2024
679,Trevisanello 2024
680,"Pozzi 2011; Serra 2022; Serra 2025, p. 240"
681,Gaucci 2014
682,Gaucci 2014
683,Gaucci 2014
684,Trevisanello 2024
